"Key","SourceString",""
"FFr_F5EA4EA6.DisplayName","Tests",""
"FFr_F5EA4EA6.Text","Test dialogues for implementations",""
"Dlg_8C6B33D0.DisplayName","Dialogue 1",""
"Dlg_8C6B33D0.Text","Dialogue with NPC 1",""
"Dlg_80270600.DisplayName","Dialogue 2",""
"Dlg_80270600.Text","Dialogue with NPC 2",""
"Dlg_19BF0109.DisplayName","Linear Test",""
"Dlg_19BF0109.Text","A small linear test for first implementation",""
"Dlg_BCE87EF3.DisplayName","Branch test",""
"Dlg_BCE87EF3.Text","Small branching structure",""
"DFr_051B7DD2.Text","Welcome. I am happy that you accepted our invitation.",""
"DFr_036E6EA6.MenuText","No problem",""
"DFr_036E6EA6.Text","Sure thing. I was in the area anyways, so it wasn't any trouble.",""
"DFr_734FEB33.Text","Hi.",""
"DFr_CE143CDC.Text","Anything else?",""
"DFr_555939CB.Text","Great to have an adventurer of your renown in our humble village",""
"DFr_937E84CD.MenuText","Long travels",""
"DFr_937E84CD.Text","It was a long journey I had to take. But I am finally here.",""
"DFr_4BFC6044.Text","Can I help you with anything before you talk to the Oracle?",""
"DFr_6540F317.MenuText","Oracle dangerous?",""
"DFr_6540F317.Text","I heard the Oracle is unpredictable and knows witchcraft. Am I in danger here?",""
"DFr_83758E1C.MenuText","No idea",""
"DFr_83758E1C.Text","Not really, my mind is kinda blank. Do you have a suggestion for a good topic?",""
"DFr_1A5B8416.MenuText","Nope",""
"DFr_1A5B8416.Text","I  am as prepared as one can be. Let's do this!",""
"DFr_9D6B9F47.Text","Good luck!",""
"DFr_FFE3CE99.Text","Let me tell you a secret. That is a rumor we spread ourself.",""
"DFr_772E01C2.Text","Well, if you have the chance...",""
"DFr_671CD267.Text","Why would you do that?",""
"DFr_73753FEE.Text","Do you have any idea how stressful it is for her to get pestered for every misplaced oxen-cart key?",""
"DFr_3E0251B9.Text","Oh, haven't thought about that.",""
"DFr_C2C050D6.Text","Now people only come if they really have problems.",""
"DFr_FFFD9FE4.Text","Anything else?",""
"DFr_153D469C.Text","Ah, no. You shouldn't.",""
"DFr_85676098.Text","What? Don't leave me hanging. Out with it.",""
"DFr_B089ADB5.Text","She wants a favor from you. So she might be inclined to answer if you ask for the upcoming lottery numbers.",""
"DFr_D85A5126.Text","But you haven't heard that from me!",""
"DFr_D58D3529.Text","Thank you. And don't worry - mum's the word.",""
"DFr_0ADD76DD.Text","Welcome, welcome.",""
"DFr_B29FF06C.Text","Nice to see you again.",""
"DFr_E5A503CB.Text","I hope it is okay if I get right down to business? Time is of the essence here.",""
"DFr_40F502D3.Text","The early bird speaks silver, as the wise ones say.",""
"DFr_239E650A.Text","And the worm gets the cheese. So true.",""
"DFr_7225F0A4.Text","Are you aware of why I invited you here?",""
"DFr_AE76FD71.MenuText","No idea",""
"DFr_AE76FD71.Text","Not really. Besides promising a sizeable reward the invitation was pretty vague.",""
"DFr_519F3783.MenuText","I guess so",""
"DFr_519F3783.Text","Could it have something to do with the evil looking forest behind the village?",""
"DFr_97BE50F2.Text","The task I ask of you is not without danger. We will reward you accordingly.",""
"DFr_346C9824.Text","Indeed, mighty adventurer. You have keen eyes and a sharp mind.",""
"DFr_8F9A05A4.Text","The forest that lies beyond our village is cursed and we fear for our lives!",""
"DFr_CDDD87E1.Text","You know that the forest beyond our village is still cursed?",""
"DFr_41B7C34B.MenuText","Forest?",""
"DFr_41B7C34B.Text","An evil Forest? We are indeed living in grim times.",""
"DFr_C18C47A0.MenuText","Curse?",""
"DFr_C18C47A0.Text","A curse? That doesn't sound good.",""
"DFr_A95E9253.MenuText","No questions!",""
"DFr_A95E9253.Text","Say no more! I will find the origin of the curse and make short work of it!",""
"DFr_3A9EDA62.Text","We will pray for your swift return.",""
"DFr_426B8005.Text","Now that you mention it. Would it be any trouble to provide me with the lottery numbers for next week?",""
"DFr_98AA31D9.Text","*Sigh* Sure, why not. 12-17-32-33-41-49",""
"DFr_2F96A000.Text","Is there anything else I can do for you, before you leave?",""
"DFr_5DBB5368.Text","To be precise not the forest is evil, but its denizens. Still, the entire situation is is very inconvenient.",""
"DFr_C73E354E.Text","I am afraid so. Although of what exact nature is still hidden from me.",""
"DFr_ED5DF485.Text","Hey! This is the first dialogue line in this test dialogue!",""
"DFr_17E8B79F.Text","Really?",""
"DFr_C1574955.Text","Yes. Unbelievable, right?",""
"DFr_3EDA6235.Text","I think I spider!",""
"DFr_BFFA0DA2.Text","Hey! Ho! Let's go! Gabba, gabba, hey!",""
"DFr_C58501C0.Text","Hi there. How are things?",""
"DFr_F76CB9F9.MenuText","Good",""
"DFr_F76CB9F9.Text","Doing great thanks.",""
"DFr_BAD9F592.MenuText","Meh",""
"DFr_BAD9F592.Text","Like the Germans are fond of saying: ""Muss"".",""
"DFr_79D29BF3.Text","What do you think of the weather?",""
"DFr_5CD4C92B.Text","Okay then. Take care.",""
"DFr_98281AB9.MenuText","Too hot",""
"DFr_98281AB9.Text","I am melting! Not a fan of this humid heat.",""
"DFr_D260A08E.MenuText","Too cold",""
"DFr_D260A08E.Text","I am freezing, where is the sun?",""
"DFr_EB3D8305.MenuText","Pretty wet",""
"DFr_EB3D8305.Text","I am cool with all the rain - I like jumping into puddles.",""
"Ntt_65BA230A.DisplayName","Player",""
"Ntt_B1F02A9D.DisplayName","Oracle",""
"Ntt_C01E8510.DisplayName","Kirian",""
